ngram,year,frequency
social justice,1977,1.6908055613384931e-06
social justice,1978,1.6983980231088935e-06
social justice,1979,1.5845699863348273e-06
social justice,1980,1.709574007691117e-06
social justice,1981,1.739016283863748e-06
social justice,1982,1.7654930388744106e-06
social justice,1983,1.7528004718769807e-06
social justice,1984,1.7834337313615833e-06
social justice,1985,1.7064566009139526e-06
social justice,1986,1.8427233499096474e-06
social justice,1987,1.8908665424532956e-06
social justice,1988,1.8840347593140905e-06
social justice,1989,1.9971587335021468e-06
social justice,1990,2.06728873308748e-06
social justice,1991,2.038695583905792e-06
social justice,1992,2.122341356880497e-06
social justice,1993,2.1940804799669422e-06
social justice,1994,2.1962725895718904e-06
social justice,1995,2.169366553061991e-06
social justice,1996,2.2636590983893257e-06
social justice,1997,2.5267727323807776e-06
social justice,1998,2.5856818410829874e-06
social justice,1999,2.7373268949304475e-06
social justice,2000,2.7549440346774645e-06
social justice,2001,2.7370288080419414e-06
social justice,2002,3.0923888516554143e-06
social justice,2003,3.1121785468712915e-06
social justice,2004,3.1908552955428604e-06
social justice,2005,3.816275238932576e-06
social justice,2006,3.7067870835016947e-06
social justice,2007,3.9505916902271565e-06
social justice,2008,3.935915628971998e-06
social justice,2009,4.142848410992883e-06
social justice,2010,4.087139586772537e-06
social justice,2011,3.714983222380397e-06
social justice,2012,3.715761067724088e-06
social justice,2013,4.466857717488892e-06
social justice,2014,4.180902124062413e-06
social justice,2015,4.880451342614833e-06
social justice,2016,5.595479251496727e-06
social justice,2017,5.037321443523979e-06
social justice,2018,4.640251972887199e-06
social justice,2019,5.2428317758312915e-06
equidad,1800,0.0
equidad,1801,0.0
equidad,1802,0.0
equidad,1803,0.0
equidad,1804,0.0
equidad,1805,0.0
equidad,1806,0.0
equidad,1807,0.0
equidad,1808,0.0
equidad,1809,1.809850713740957e-09
equidad,1810,0.0
equidad,1811,0.0
equidad,1812,0.0
equidad,1813,0.0
equidad,1814,0.0
equidad,1815,0.0
equidad,1816,0.0
equidad,1817,0.0
equidad,1818,0.0
equidad,1819,0.0
equidad,1820,0.0
equidad,1821,0.0
equidad,1822,0.0
equidad,1823,5.158892868450948e-09
equidad,1824,0.0
equidad,1825,0.0
equidad,1826,0.0
equidad,1827,9.388401167598204e-10
equidad,1828,0.0
equidad,1829,0.0
equidad,1830,0.0
equidad,1831,0.0
equidad,1832,0.0
equidad,1833,0.0
equidad,1834,0.0
equidad,1835,0.0
equidad,1836,0.0
equidad,1837,0.0
equidad,1838,0.0
equidad,1839,0.0
equidad,1840,0.0
equidad,1841,0.0
equidad,1842,0.0
equidad,1843,0.0
equidad,1844,4.898432770517047e-10
equidad,1845,1.7028323195944495e-09
equidad,1846,0.0
equidad,1847,0.0
equidad,1848,0.0
equidad,1849,9.130869949025566e-10
equidad,1850,0.0
equidad,1851,0.0
equidad,1852,3.7617675641143933e-10
equidad,1853,0.0
equidad,1854,0.0
equidad,1855,0.0
equidad,1856,2.0268924316724224e-09
equidad,1857,0.0
equidad,1858,6.61522037148643e-09
equidad,1859,5.2183746213074755e-09
equidad,1860,0.0
equidad,1861,4.032245926044453e-10
equidad,1862,0.0
equidad,1863,0.0
equidad,1864,0.0
equidad,1865,0.0
equidad,1866,6.683303355181636e-10
equidad,1867,0.0
equidad,1868,6.191717139003572e-10
equidad,1869,3.096773393274077e-10
equidad,1870,0.0
equidad,1871,9.410456858205407e-10
equidad,1872,0.0
equidad,1873,5.91310445052784e-10
equidad,1874,2.556291844868497e-09
equidad,1875,0.0
equidad,1876,0.0
equidad,1877,0.0
equidad,1878,0.0
equidad,1879,2.6832389088404796e-10
equidad,1880,0.0
equidad,1881,5.079950349262674e-10
equidad,1882,1.9551735785938718e-09
equidad,1883,1.8416542735266717e-09
equidad,1884,8.838366705177236e-10
equidad,1885,0.0
equidad,1886,4.047451263033963e-09
equidad,1887,8.543054041965092e-10
equidad,1888,2.0316294480071662e-10
equidad,1889,3.862406228183346e-10
equidad,1890,0.0
equidad,1891,0.0
equidad,1892,3.663925274288715e-10
equidad,1893,3.5413966203989844e-10
equidad,1894,1.79235362662844e-10
equidad,1895,3.146021498867668e-10
equidad,1896,0.0
equidad,1897,6.18569639954103e-10
equidad,1898,8.891907210539785e-10
equidad,1899,8.1397788509463e-10
equidad,1900,1.3003728649430002e-10
equidad,1901,3.1566793623483136e-09
equidad,1902,7.649840760848292e-10
equidad,1903,0.0
equidad,1904,2.399136167507976e-10
equidad,1905,0.0
equidad,1906,0.0
equidad,1907,1.1097617963473638e-10
equidad,1908,0.0
equidad,1909,2.1720980569739368e-10
equidad,1910,1.3331657999771096e-09
equidad,1911,7.685694303205537e-10
equidad,1912,5.788023949016008e-10
equidad,1913,0.0
equidad,1914,1.9569104114935953e-09
equidad,1915,1.614380074066446e-09
equidad,1916,2.2018795675649017e-09
equidad,1917,4.0926170785660076e-10
equidad,1918,2.5661344160710087e-09
equidad,1919,1.1589934567624027e-09
equidad,1920,0.0
equidad,1921,0.0
equidad,1922,9.944022688612719e-11
equidad,1923,1.624115841813989e-10
equidad,1924,3.935625159101619e-10
equidad,1925,0.0
equidad,1926,1.7187411216479376e-10
equidad,1927,5.128521496367e-10
equidad,1928,1.6103622602070544e-10
equidad,1929,9.627644237397703e-10
equidad,1930,3.1833730096408885e-10
equidad,1931,2.873995263996676e-09
